Website,Aims/Objectives/Mission,Pin,Mobile,name,Phone,Purpose,Add.,Email,Contact Person
,"Our mission at AICCO is to provide quality services for the poor and underprivileged within the slums of India and reaching out to the rural areas as well. Our services will focus on assessing individual strengths and needs, setting personal goals, and providing an environment that encourages growth and development. AICCO’S ultimate goal is to help its beneficiaries live independent.",110034,91-97178 17747,A Ideal Children’s Care Org,91-11-27183937,Child education.,"E-608, Shakurpur
New Delhi",varunpmk@gmail.com,Kandaiyan
http://www.aicco.multiply.com,"To provide the education to the poor and needy children’s for this AICCO will construct a institute where these children can get education without any fee. Secondly AICCO want to work for women empowerment, development. We are concern to provide employment opportunity.",110034,91-92137 38317,A Ideal Children’s Care Organistion,,Education,"E-617, Anand Niwas
New Delhi",aiccosuggestion@gmail.com,Gopal Swamy
,Our ngo wanted to help all who needs help in any field.,110092,91-99533 99334,A Noble Society of Helping Hands,,Social service.,"E 368, Nirman Vihar
Delhi",ansh@in.com,"Shalini Bhatia, Sanjai Kumar"
,Our aim is providing free computer education slums & finiacial problem students.,110042,91-99110 06230,A Progressive Infotech Studies & Welfare Organisation,,Computer program.,"B-21, 10, Shiv Mandir Road
Delhi",vikasgarg27@hotmail.com,Vikas Garg
,"To provide opportunities to traditional rural weavers, artists and craftsmen to increase their incomes and lift themselves out of morass of poverty.",110092,91-93135 60709,AADHAAR,,Designing and marketing the products of handloom weavers and rural crafts men and reviving the.,"44, Bharti Artist Colony
New Delhi",aadhaar@gmail.com,Samira Awasthi
,"Awareness, counseling, training and advocacy.",110001,91-98180 95254,Aalari Society,,,"390, Pkt-II, Sector-19
New Delhi",aalari_diya@yahoo.co.in,Neelima Basumatary
http://www.asthaindia.in,"ASTHA is an organization that has been working in the area of disability for the last fifteen years in Delhi. We work with a focus on research and training and information dissemination in the field of disability. Our work with people with disabilities and their families is mainly in the resettlement colonies in Delhi. The focus of our work has been on children with intellectual and multiple disabilities. A special focus on children with severe disability has enriched our work. Our vision and mission includes; To work towards a society where children and people with disabilities are respected and valued. To work in partnership with children and persons with disabilities, and their families.",110019,91-99102 37904,Aarth Astha,"91-11-26449026, 91-11-26449029",Disability,"Basti Vikas Kendra, Bal Mukund Khand, Giri Nagar, Kalkaji
New Delhi",aarthindia@gmail.com,Sudha Vohra
http://www.aayug.org,AAYUG Foundation – Age Awareness for You And Unsound Generation is an Indian Non Government organisation that catalyses change in the lives of underprivileged children and unsound generation by education and awareness in India by restoring their rights of education. To enable people to take responsibility for the situation of the deprived Indian child and so motivate them to confront the situation through collective action thereby giving the child and themselves an opportunity to realise their full potential,110044,91-99900 22935,Aayug Foundation,,Education and social awareness.,"Delhi
Delhi",helpaayug@gmail.com,Manish Verma
http://www.ablincon.org,"ALEWSS is a registered NGO and consistently working for supporting and imparting free education to the poor, helpless and underprivileged children/people and social welfare for last 10 years. We have established 5 educational centers where 2500 beneficiaries are educated through formal and non-formal education. We have been running our schools from last 10 years at Sarita vihar location, New Delhi and till date we educate more than 3000 underprivileged children totally free of cost and more than 5000 children with few amount of money.",110076,91-93124 14034,AB Lincon Educational & Social Welfare Society,91-11-26958165,,"226, Haddu Muhalla, Madanpur Khadar, Sarita Vihar
South Delhi",alewss@ablincon.org,Anoop Gupta
,Its a education and welfare society.,110017,91-98116 57087,ABHINANDAN,,Education and welfare.,"15/221, Malviya Nagar
New Delhi",manishabhatia2@gmail.com,Manisha Bhatia
http://www.abilityunlimited.com,"Through world’s first and historic first dance theatre performances/productions by the persons with disabilities created biggest awareness about the abilities of the persons with disabilities, because they dont need mercy – they need opportunity.",110092,91-98113 40308,Ability Unlimited,,Vocational training and proejcts for disabled.,"D-168, 43, Patpar Ganj
Delhi",abilityunlimited@gmail.com,Guru Syed Sallauddin Pasha
http://www.abvsps.com,"For every child a home and education, for every adult the dignity of self – reliance and desire to give back to society.",110078,91-97112 95566,ABVSPS – Akhil Bhartiya Vedic Shikshan Avam Parshikshan Sansthan,,To regenerate the rhythm of life of the disadvantaged.,"535-536, Pocket- B, Sec 16 B,
New Delhi",abvsps.delhi@gmail.com,Namrata Sisodia
,"To help medically, psychologically, legally and rehabilitate victims of violence of acid and burns.",110070,91-98116 04892,Acid Survivors Foundation India,,To help acid and burn victims of violence.,"C2, Flat 2038
New Delhi",acidsurvivorsfoundationindia@ymail.com,Asha Chaudhry
http://www.act-ngo.org,"Care and protection for women and children, shgs formation, micro finance and micro enterprise, vocational training and education, health and awareness.",110019,91-93139 84414,Action in Community & Training,,"Women, children & health development.","J 1 /72, DDA Flats, Kalkaji
New Delhi",act_ngo@yahoo.co.uk,Tapas Chatterjee
,"Environment safety, women and children’s, empowerment, upliftment and development of farmers of rural areas.",110003,91-98710 78179,Adamya Association,91-11-64587384,"For saving environment, farmers, women and children.","203, Aliganj Kotla, Mubarakpur
New Delhi",adamya_2007@yahoo.co.in,Sachin Panwar
,Tweet,110067,91-98105 18673,Adharsheela,,Education to deaf blind children.,"L-20-C, Lalkuan
New Delhi",aadhershila2000@rediffmail.com,Jairaj
http://www.adharshilatrust.org,"Adharshila is a young NGO based in New Delhi, India whose mission is to build foundations at the grassroots level with dedication and sincerity.",110048,91-98101 37592,Adharshila Trust,,Community development,"S 519, Greater Kailash II
New Delhi",adharshila@gmail.com,Neena Jolly
,"Our mail goal to promte and educate people to save energy, save water, save girl child which is main factor. To promote people for their right and duties to provide medical insurance to poor people for better life.",110092,91-98918 81058,Adhikar Chetna,,"Save energy, save girl child, pollution free environment.","M-113/A, Luxmi Nagar
Delhi",adhikarngo@aol.in,Amit Aggarwal
